STATIONGROUP,FACTOR,SEASONGROUP
CO0,0.320611969578387,M01-Jan
CO1,0.4324017636158536,M01-Jan
CO2,1.1402537808871442,M01-Jan
CO3,0.3857536633623297,M01-Jan
CO4,0.7518059075494997,M01-Jan
CO5,0.8082633568318279,M01-Jan
CO6,0.8930546009272727,M01-Jan
CO7,0.7706564188241717,M01-Jan
CO8,0.9461899911139956,M01-Jan
CO9,0.6496647908456837,M01-Jan
COA,0.7722741039944213,M01-Jan
COB,0.8654792916854331,M01-Jan
COC,0.9263964220523472,M01-Jan
COD,0.9583026748590464,M01-Jan
COE,0.7399344271676772,M01-Jan
COF,0.9449540616525788,M01-Jan
COG,0.9173191526151484,M01-Jan
COH,0.9119894254952744,M01-Jan
COI,1.3198774376050646,M01-Jan
COJ,0.4149750899264168,M01-Jan
COK,1.147655333380896,M01-Jan
COL,0.5595941631436028,M01-Jan
COM,0.2509847916342588,M01-Jan
CON,0.5368000360619636,M01-Jan
COO,0.6606606929139981,M01-Jan
COP,0.81593663621472,M01-Jan
COQ,0.7909732368480461,M01-Jan
COR,0.8522930576048603,M01-Jan
COS,0.8599703183771631,M01-Jan
COT,0.9024160599709178,M01-Jan
COU,0.9345850552812196,M01-Jan
COV,0.9600213031428524,M01-Jan
COW,0.8591475377364065,M01-Jan
COX,0.8667134521250794,M01-Jan
COY,0.7470626180350047,M01-Jan
COZ,0.7842770921601356,M01-Jan
XX3,0.9361554053528396,M01-Jan
CO0,0.3394940097513057,M02-Feb
CO1,0.4560697759655718,M02-Feb
CO2,1.1206950445816133,M02-Feb
CO3,0.419881162166227,M02-Feb
CO4,0.8353217412785494,M02-Feb
CO5,0.8710036215137416,M02-Feb
CO6,0.9381227216784546,M02-Feb
CO7,0.7755957709827622,M02-Feb
CO8,0.978146804148265,M02-Feb
CO9,0.6688100075021773,M02-Feb
COA,0.8587334534925244,M02-Feb
COB,0.91778884155179,M02-Feb
COC,0.9576378834705308,M02-Feb
COD,0.9399710084642756,M02-Feb
COE,0.7672781768952474,M02-Feb
COF,0.9581873558355284,M02-Feb
COG,0.9555230524372134,M02-Feb
COH,0.8981896797828193,M02-Feb
COI,1.365925240233274,M02-Feb
COJ,0.537454217110204,M02-Feb
COK,1.0796479663025271,M02-Feb
COL,0.581188723181383,M02-Feb
COM,0.2102109756809521,M02-Feb
CON,0.6010012840138615,M02-Feb
COO,0.7178785505240498,M02-Feb
COP,0.8503750603532433,M02-Feb
COQ,0.8360422671371806,M02-Feb
COR,0.8835773192305854,M02-Feb
COS,0.8981778667801474,M02-Feb
COT,0.94712082091743,M02-Feb
COU,0.9704540487656356,M02-Feb
COV,1.017691325877118,M02-Feb
COW,0.945079273666883,M02-Feb
COX,0.9889830005406752,M02-Feb
COY,0.7486984025493916,M02-Feb
COZ,0.8153836495609003,M02-Feb
XX3,0.9639538235803364,M02-Feb
CO0,0.4227600925733961,M03-Mar
CO1,0.4858843633230556,M03-Mar
CO2,1.0601703086693732,M03-Mar
CO3,0.4960593305833187,M03-Mar
CO4,1.0452387087697517,M03-Mar
CO5,0.9805605606388416,M03-Mar
CO6,0.9889787911461548,M03-Mar
CO7,0.9305887085083964,M03-Mar
CO8,1.00592083320107,M03-Mar
CO9,0.9442912619281758,M03-Mar
COA,0.9173946823840702,M03-Mar
COB,0.961889288122684,M03-Mar
COC,0.9795959282169936,M03-Mar
COD,0.9514960154219154,M03-Mar
COE,0.9185989296534368,M03-Mar
COF,0.9885423724060672,M03-Mar
COG,0.9914247255678126,M03-Mar
COH,0.9195927393603802,M03-Mar
COI,1.3298399450063254,M03-Mar
COJ,1.0523576319109975,M03-Mar
COK,1.0727665274913532,M03-Mar
COL,0.6830202139711773,M03-Mar
COM,0.2308548784496112,M03-Mar
CON,0.8286619463885163,M03-Mar
COO,0.9530700233235764,M03-Mar
COP,0.9395903877305788,M03-Mar
COQ,0.9315219394197276,M03-Mar
COR,0.922650487703112,M03-Mar
COS,0.9669136034480318,M03-Mar
COT,0.9887908359796732,M03-Mar
COU,0.9965378393183276,M03-Mar
COV,1.0302718565017106,M03-Mar
COW,1.025221081386959,M03-Mar
COX,1.013054359550838,M03-Mar
COY,0.8334384404484569,M03-Mar
COZ,0.8809343180672704,M03-Mar
XX3,0.9952970395439308,M03-Mar
CO0,0.5531101015400584,M04-Apr
CO1,0.583450074999285,M04-Apr
CO2,0.6718152149527876,M04-Apr
CO3,0.6717606339314918,M04-Apr
CO4,1.0677080582283769,M04-Apr
CO5,1.006596105415035,M04-Apr
CO6,1.0189835786225854,M04-Apr
CO7,0.9690366961925532,M04-Apr
CO8,1.0130202126960517,M04-Apr
CO9,0.9972792387070282,M04-Apr
COA,0.9583419195002478,M04-Apr
COB,0.9905459267090412,M04-Apr
COC,0.9797418386315394,M04-Apr
COD,0.8790249090690947,M04-Apr
COE,0.9729383367752176,M04-Apr
COF,1.0157645549288636,M04-Apr
COG,1.0128454949599688,M04-Apr
COH,0.8906892229802135,M04-Apr
COI,0.9941139620040538,M04-Apr
COJ,1.2834746137021726,M04-Apr
COK,0.8108622260428947,M04-Apr
COL,0.833644819902987,M04-Apr
COM,0.3134269014643246,M04-Apr
CON,0.9856344051011804,M04-Apr
COO,1.039255688339647,M04-Apr
COP,1.0366415136186071,M04-Apr
COQ,0.9757872306276394,M04-Apr
COR,0.9554075727248696,M04-Apr
COS,1.0118908700264473,M04-Apr
COT,1.0145887321507163,M04-Apr
COU,1.0142297030706218,M04-Apr
COV,1.0365961271609994,M04-Apr
COW,1.070998960667917,M04-Apr
COX,1.0423884809905215,M04-Apr
COY,0.8916020748360921,M04-Apr
COZ,0.929729685448872,M04-Apr
XX3,1.0138766685408114,M04-Apr
CO0,0.9747646647683044,M05-May
CO1,0.8721830198034718,M05-May
CO2,0.6054250200827601,M05-May
CO3,0.9569545076288878,M05-May
CO4,1.0203774066682956,M05-May
CO5,1.0206384459954136,M05-May
CO6,1.0201677686804635,M05-May
CO7,1.0303099365429111,M05-May
CO8,1.0113740819598205,M05-May
CO9,1.1327223587568045,M05-May
COA,1.037508942913999,M05-May
COB,1.0310904820574998,M05-May
COC,1.0123538996553298,M05-May
COD,0.9450559209348732,M05-May
COE,1.031137485900781,M05-May
COF,1.0315009047960269,M05-May
COG,1.0305695651939482,M05-May
COH,0.9684346005533256,M05-May
COI,0.6425600462684075,M05-May
COJ,1.4011023127761268,M05-May
COK,0.8426665010473952,M05-May
COL,1.0990042477724944,M05-May
COM,0.7341027080658016,M05-May
CON,1.2061680287991017,M05-May
COO,1.1482898975911626,M05-May
COP,1.106459236219312,M05-May
COQ,1.05051133976151,M05-May
COR,1.0181484081067669,M05-May
COS,1.0534211121217594,M05-May
COT,1.0278408078890768,M05-May
COU,1.0244621820202726,M05-May
COV,1.002875764029648,M05-May
COW,1.0446254707064069,M05-May
COX,1.0142818427677025,M05-May
COY,1.022629259437542,M05-May
COZ,1.0242456105313005,M05-May
XX3,1.0244802065730627,M05-May
CO0,1.8914421201066955,M06-Jun
CO1,1.6769097036467218,M06-Jun
CO2,1.2120639586810806,M06-Jun
CO3,1.5833044887266716,M06-Jun
CO4,1.125786433459382,M06-Jun
CO5,1.0980879992273327,M06-Jun
CO6,1.041649210387477,M06-Jun
CO7,1.169819514319914,M06-Jun
CO8,1.0174151114541587,M06-Jun
CO9,1.3221735911927723,M06-Jun
COA,1.163520919018206,M06-Jun
COB,1.0629428480176055,M06-Jun
COC,1.0414832565166012,M06-Jun
COD,1.1061198747815066,M06-Jun
COE,1.1852832682811418,M06-Jun
COF,1.056351537114547,M06-Jun
COG,1.0333732353536131,M06-Jun
COH,1.1227543095365071,M06-Jun
COI,0.8156497346338625,M06-Jun
COJ,1.262901761881208,M06-Jun
COK,1.0014286418860905,M06-Jun
COL,1.6152218965010514,M06-Jun
COM,1.69562203615972,M06-Jun
CON,1.412545425909148,M06-Jun
COO,1.2044363972284329,M06-Jun
COP,1.1046864011476325,M06-Jun
COQ,1.1718964878662066,M06-Jun
COR,1.102245178664295,M06-Jun
COS,1.063569432392304,M06-Jun
COT,1.0351858944153494,M06-Jun
COU,1.022215742314597,M06-Jun
COV,0.969969480505537,M06-Jun
COW,1.031020882303022,M06-Jun
COX,0.9264116391239452,M06-Jun
COY,1.2326893444849845,M06-Jun
COZ,1.1731926414744729,M06-Jun
XX3,1.0357114648224544,M06-Jun
CO0,2.0657961761013577,M07-Jul
CO1,2.609596022454084,M07-Jul
CO2,1.352569217579096,M07-Jul
CO3,1.8682388096059448,M07-Jul
CO4,1.1690565725476434,M07-Jul
CO5,1.1372185514509543,M07-Jul
CO6,1.031387205878588,M07-Jul
CO7,1.3139639437010122,M07-Jul
CO8,0.9976436620488214,M07-Jul
CO9,1.3321744803123652,M07-Jul
COA,1.2107689079308053,M07-Jul
COB,1.0568904612300156,M07-Jul
COC,1.033595384215042,M07-Jul
COD,1.1807844729908397,M07-Jul
COE,1.268664563360571,M07-Jul
COF,1.0127979315588689,M07-Jul
COG,1.0149847000495051,M07-Jul
COH,1.190120644893571,M07-Jul
COI,1.029056713001382,M07-Jul
COJ,1.1780139948783408,M07-Jul
COK,1.116224959167935,M07-Jul
COL,1.748278659904394,M07-Jul
COM,2.400516142419965,M07-Jul
CON,1.4472409045439605,M07-Jul
COO,1.2312912994253444,M07-Jul
COP,1.079645085561053,M07-Jul
COQ,1.205599133375693,M07-Jul
COR,1.1473659701591017,M07-Jul
COS,1.0366209622216074,M07-Jul
COT,1.0100383451627046,M07-Jul
COU,0.9959643596743324,M07-Jul
COV,0.9408872568558216,M07-Jul
COW,1.0082197674576103,M07-Jul
COX,0.9080560120606476,M07-Jul
COY,1.375967318795273,M07-Jul
COZ,1.2320976119294704,M07-Jul
XX3,1.008474348042148,M07-Jul
CO0,1.7691281517831063,M08-Aug
CO1,2.1090719060034773,M08-Aug
CO2,1.2306265876318874,M08-Aug
CO3,1.6290328700101508,M08-Aug
CO4,1.0752633551520756,M08-Aug
CO5,1.1015458757490808,M08-Aug
CO6,1.0390754561046625,M08-Aug
CO7,1.2271013509658215,M08-Aug
CO8,1.0058643473402584,M08-Aug
CO9,1.2040117647861788,M08-Aug
COA,1.1809428888190956,M08-Aug
COB,1.0778772174771352,M08-Aug
COC,1.0567277706587563,M08-Aug
COD,1.1541147941658891,M08-Aug
COE,1.198170754762276,M08-Aug
COF,1.047768115651915,M08-Aug
COG,1.0423081969382866,M08-Aug
COH,1.1721149609085637,M08-Aug
COI,0.9810534324545156,M08-Aug
COJ,1.0907499167023211,M08-Aug
COK,1.0729662925878418,M08-Aug
COL,1.499054989939486,M08-Aug
COM,2.173472680623871,M08-Aug
CON,1.271878581385366,M08-Aug
COO,1.153737754268012,M08-Aug
COP,1.0897355889988405,M08-Aug
COQ,1.143741649986394,M08-Aug
COR,1.145751417290657,M08-Aug
COS,1.072395186995016,M08-Aug
COT,1.039588185033299,M08-Aug
COU,1.0223023067910366,M08-Aug
COV,0.9683978591498278,M08-Aug
COW,1.03298111996258,M08-Aug
COX,0.9425702704393802,M08-Aug
COY,1.3178280745431616,M08-Aug
COZ,1.209825128801246,M08-Aug
XX3,1.0319776083895562,M08-Aug
CO0,1.5525266451253548,M09-Sep
CO1,1.0937703267995034,M09-Sep
CO2,1.0545834009192998,M09-Sep
CO3,1.570930979379949,M09-Sep
CO4,0.9778340517358745,M09-Sep
CO5,1.0254867071266849,M09-Sep
CO6,1.0200654016979631,M09-Sep
CO7,1.045411394441251,M09-Sep
CO8,1.01487910368958,M09-Sep
CO9,1.1035424498343789,M09-Sep
COA,1.1061767532165308,M09-Sep
COB,1.051221983366189,M09-Sep
COC,1.0360673202207382,M09-Sep
COD,1.0581206792019835,M09-Sep
COE,1.058250250092356,M09-Sep
COF,1.0163481920136048,M09-Sep
COG,1.0312516617849723,M09-Sep
COH,1.0770063907316143,M09-Sep
COI,0.946523991177876,M09-Sep
COJ,1.2247317160571,M09-Sep
COK,0.98984565950415,M09-Sep
COL,1.197550308848982,M09-Sep
COM,1.6032492274645354,M09-Sep
CON,1.2646063588064294,M09-Sep
COO,1.129330047564655,M09-Sep
COP,1.0751595914475105,M09-Sep
COQ,1.0572284103914047,M09-Sep
COR,1.0758343042649452,M09-Sep
COS,1.0607138317042564,M09-Sep
COT,1.04344158156727,M09-Sep
COU,1.0237869133081794,M09-Sep
COV,0.988134516106462,M09-Sep
COW,1.0393188086804632,M09-Sep
COX,1.0094058692442254,M09-Sep
COY,1.1213058516267245,M09-Sep
COZ,1.080869483593793,M09-Sep
XX3,1.0208257244411718,M09-Sep
CO0,1.3425103774576457,M10-Oct
CO1,0.7136362581390826,M10-Oct
CO2,0.8412005277618841,M10-Oct
CO3,1.2298725447791847,M10-Oct
CO4,1.0372043456578113,M10-Oct
CO5,1.03125556688109,M10-Oct
CO6,1.0242385502308438,M10-Oct
CO7,0.9954712994646556,M10-Oct
CO8,1.0254369118009663,M10-Oct
CO9,1.00838668512051,M10-Oct
COA,1.037371824540914,M10-Oct
COB,1.0351785250916723,M10-Oct
COC,1.0153669867822244,M10-Oct
COD,0.9774350846162874,M10-Oct
COE,1.0264160315519228,M10-Oct
COF,1.0119234588676431,M10-Oct
COG,1.0239131063251277,M10-Oct
COH,0.9890939188288176,M10-Oct
COI,0.7579805673601506,M10-Oct
COJ,1.195263859094417,M10-Oct
COK,0.9158697854681336,M10-Oct
COL,0.9427851923303968,M10-Oct
COM,1.3139206334600193,M10-Oct
CON,1.0805315540191291,M10-Oct
COO,1.06920894006255,M10-Oct
COP,1.0684294111630894,M10-Oct
COQ,1.0384836882867492,M10-Oct
COR,1.0377130698258856,M10-Oct
COS,1.0468354289227122,M10-Oct
COT,1.035786093486012,M10-Oct
COU,1.0103273573061182,M10-Oct
COV,1.019504115789717,M10-Oct
COW,1.0365859260894597,M10-Oct
COX,1.1263911966684543,M10-Oct
COY,1.0274379897622878,M10-Oct
COZ,1.038693468380078,M10-Oct
XX3,1.0204249935731928,M10-Oct
CO0,0.4285968238106927,M11-Nov
CO1,0.4906519981214863,M11-Nov
CO2,0.6203135380139733,M11-Nov
CO3,0.678942697781096,M11-Nov
CO4,1.0036205445437414,M11-Nov
CO5,0.984665428383452,M11-Nov
CO6,0.9951009618914344,M11-Nov
CO7,0.911534566459537,M11-Nov
CO8,0.9937601226467536,M11-Nov
CO9,0.8704347075396052,M11-Nov
COA,0.9410798255151172,M11-Nov
COB,0.9886281389190305,M11-Nov
COC,0.98598881483913,M11-Nov
COD,0.9041123027313414,M11-Nov
COE,0.9556653531689042,M11-Nov
COF,0.9823415119198922,M11-Nov
COG,0.9944050984423848,M11-Nov
COH,0.9130168272900192,M11-Nov
COI,0.6298656466091201,M11-Nov
COJ,0.8279776758175006,M11-Nov
COK,0.8796233212722796,M11-Nov
COL,0.6655299918862773,M11-Nov
COM,0.6446317428335789,M11-Nov
CON,0.7434321925617182,M11-Nov
COO,0.8951099171630003,M11-Nov
COP,0.9511353883409284,M11-Nov
COQ,0.913329929609351,M11-Nov
COR,0.9351178905344836,M11-Nov
COS,0.989553572783702,M11-Nov
COT,0.9935947234727188,M11-Nov
COU,0.994384939881418,M11-Nov
COV,1.0305256724936096,M11-Nov
COW,0.9847153004696608,M11-Nov
COX,1.1107116060202693,M11-Nov
COY,0.8786549407590734,M11-Nov
COZ,0.9359868327767434,M11-Nov
XX3,0.9901692701241744,M11-Nov
CO0,0.3392588674036976,M12-Dec
CO1,0.4763747871284102,M12-Dec
CO2,1.0902834002390993,M12-Dec
CO3,0.509268312044749,M12-Dec
CO4,0.890782874408999,M12-Dec
CO5,0.9346777807865456,M12-Dec
CO6,0.9891757527541012,M12-Dec
CO7,0.8605103995970143,M12-Dec
CO8,0.9903488179002586,M12-Dec
CO9,0.7665086634743213,M12-Dec
COA,0.8158857786740691,M12-Dec
COB,0.9604669957719044,M12-Dec
COC,0.9750444947407672,M12-Dec
COD,0.9454622627629468,M12-Dec
COE,0.8776624223904689,M12-Dec
COF,0.9335200032544628,M12-Dec
COG,0.9520820103320192,M12-Dec
COH,0.9469972796388948,M12-Dec
COI,1.1875532836459692,M12-Dec
COJ,0.5309972101431941,M12-Dec
COK,1.0704427858485035,M12-Dec
COL,0.5751267926177682,M12-Dec
COM,0.4290072817433605,M12-Dec
CON,0.6214992824096253,M12-Dec
COO,0.7977307915955704,M12-Dec
COP,0.8822056992044852,M12-Dec
COQ,0.8848846866901001,M12-Dec
COR,0.9238953238904388,M12-Dec
COS,0.9399378142268536,M12-Dec
COT,0.961607919954832,M12-Dec
COU,0.9907495522682384,M12-Dec
COV,1.0351247223866955,M12-Dec
COW,0.9220858708726304,M12-Dec
COX,1.051032270468259,M12-Dec
COY,0.8026856847220103,M12-Dec
COZ,0.8947644772757167,M12-Dec
XX3,0.9586534470163206,M12-Dec
CO0,0.3331216155777967,S01-Winter
CO1,0.4549487755699452,S01-Winter
CO2,1.1170774085692856,S01-Winter
CO3,0.4383010458577686,S01-Winter
CO4,0.8259701744123491,S01-Winter
CO5,0.8713149197107051,S01-Winter
CO6,0.9401176917866094,S01-Winter
CO7,0.8022541964679827,S01-Winter
CO8,0.9715618710541732,S01-Winter
CO9,0.6949944872740608,S01-Winter
COA,0.8156311120536716,S01-Winter
COB,0.914578376336376,S01-Winter
COC,0.9530262667545486,S01-Winter
COD,0.9479119820287562,S01-Winter
COE,0.794958342151131,S01-Winter
COF,0.9455538069141904,S01-Winter
COG,0.9416414051281272,S01-Winter
COH,0.9190587949723296,S01-Winter
COI,1.2911186538281023,S01-Winter
COJ,0.494475505726605,S01-Winter
COK,1.0992486951773088,S01-Winter
COL,0.571969892980918,S01-Winter
COM,0.2967343496861905,S01-Winter
CON,0.5864335341618169,S01-Winter
COO,0.7254233450112059,S01-Winter
COP,0.8495057985908161,S01-Winter
COQ,0.8373000635584424,S01-Winter
COR,0.8865885669086281,S01-Winter
COS,0.8993619997947215,S01-Winter
COT,0.9370482669477268,S01-Winter
COU,0.9652628854383642,S01-Winter
COV,1.0042791171355554,S01-Winter
COW,0.9087708940919734,S01-Winter
COX,0.9689095743780044,S01-Winter
COY,0.766148901768802,S01-Winter
COZ,0.8314750729989173,S01-Winter
XX3,0.9529208919831658,S01-Winter
CO0,0.6502116196272529,S02-Spring
CO1,0.6471724860419374,S02-Spring
CO2,0.7791368479016404,S02-Spring
CO3,0.7082581573812329,S02-Spring
CO4,1.044441391222141,S02-Spring
CO5,1.0025983706830968,S02-Spring
CO6,1.0093767128164015,S02-Spring
CO7,0.9766451137479536,S02-Spring
CO8,1.0101050426189804,S02-Spring
CO9,1.0247642864640027,S02-Spring
COA,0.971081848266106,S02-Spring
COB,0.9945085656297415,S02-Spring
COC,0.9905638888346208,S02-Spring
COD,0.925192281808628,S02-Spring
COE,0.9742249174431452,S02-Spring
COF,1.0119359440436526,S02-Spring
COG,1.011613261907243,S02-Spring
COH,0.926238854297973,S02-Spring
COI,0.9888379844262624,S02-Spring
COJ,1.2456448527964323,S02-Spring
COK,0.9087650848605476,S02-Spring
COL,0.8718897605488864,S02-Spring
COM,0.4261281626599124,S02-Spring
CON,1.0068214600962655,S02-Spring
COO,1.046871869751462,S02-Spring
COP,1.0275637125228323,S02-Spring
COQ,0.9859401699362924,S02-Spring
COR,0.9654021561782492,S02-Spring
COS,1.0107418618654127,S02-Spring
COT,1.0104067920064892,S02-Spring
COU,1.0117432414697418,S02-Spring
COV,1.0232479158974528,S02-Spring
COW,1.0469485042537612,S02-Spring
COX,1.0232415611030208,S02-Spring
COY,0.9158899249073638,S02-Spring
COZ,0.944969871349148,S02-Spring
XX3,1.0112179715526015,S02-Spring
CO0,1.9087888159970536,S03-Summer
CO1,2.131859210701428,S03-Summer
CO2,1.2650865879640216,S03-Summer
CO3,1.6935253894475892,S03-Summer
CO4,1.1233687870530336,S03-Summer
CO5,1.112284142142456,S03-Summer
CO6,1.0373706241235765,S03-Summer
CO7,1.2369616029955826,S03-Summer
CO8,1.0069743736144126,S03-Summer
CO9,1.286119945430439,S03-Summer
COA,1.1850775719227025,S03-Summer
COB,1.065903508908252,S03-Summer
COC,1.0439354704634662,S03-Summer
COD,1.1470063806460784,S03-Summer
COE,1.217372862134663,S03-Summer
COF,1.0389725281084436,S03-Summer
COG,1.0302220441138012,S03-Summer
COH,1.1616633051128806,S03-Summer
COI,0.94191996002992,S03-Summer
COJ,1.1772218911539565,S03-Summer
COK,1.063539964547289,S03-Summer
COL,1.620851848781644,S03-Summer
COM,2.0898702864011858,S03-Summer
CON,1.377221637279491,S03-Summer
COO,1.1964884836405965,S03-Summer
COP,1.0913556919025091,S03-Summer
COQ,1.173745757076098,S03-Summer
COR,1.1317875220380182,S03-Summer
COS,1.0575285272029755,S03-Summer
COT,1.0282708082037846,S03-Summer
COU,1.0134941362599883,S03-Summer
COV,0.9597515321703955,S03-Summer
COW,1.0240739232410707,S03-Summer
COX,0.9256793072079912,S03-Summer
COY,1.30882824594114,S03-Summer
COZ,1.2050384607350628,S03-Summer
XX3,1.025387807084719,S03-Summer
CO0,1.1078779487978976,S04-Fall
CO1,0.7660195276866907,S04-Fall
CO2,0.8386991555650524,S04-Fall
CO3,1.15991540731341,S04-Fall
CO4,1.0062196473124758,S04-Fall
CO5,1.0138025674637423,S04-Fall
CO6,1.013134971273414,S04-Fall
CO7,0.984139086788481,S04-Fall
CO8,1.0113587127124335,S04-Fall
CO9,0.994121280831498,S04-Fall
COA,1.0282094677575204,S04-Fall
COB,1.0250095491256306,S04-Fall
COC,1.012474373947364,S04-Fall
COD,0.9798893555165372,S04-Fall
COE,1.0134438782710609,S04-Fall
COF,1.0035377209337133,S04-Fall
COG,1.016523288850828,S04-Fall
COH,0.9930390456168172,S04-Fall
COI,0.7781234017157156,S04-Fall
COJ,1.0826577503230057,S04-Fall
COK,0.928446255414854,S04-Fall
COL,0.9352884976885518,S04-Fall
COM,1.187267201252711,S04-Fall
CON,1.0295233684624256,S04-Fall
COO,1.031216301596735,S04-Fall
COP,1.0315747969838431,S04-Fall
COQ,1.003014009429169,S04-Fall
COR,1.016221754875105,S04-Fall
COS,1.0323676111368902,S04-Fall
COT,1.024274132842,S04-Fall
COU,1.0094997368319047,S04-Fall
COV,1.012721434796596,S04-Fall
COW,1.020206678413195,S04-Fall
COX,1.0821695573109829,S04-Fall
COY,1.0091329273826954,S04-Fall
COZ,1.0185165949168715,S04-Fall
XX3,1.010473329379513,S04-Fall
CO0,1.0,S00-Ann
CO1,1.0,S00-Ann
CO2,1.0,S00-Ann
CO3,1.0,S00-Ann
CO4,1.0,S00-Ann
CO5,1.0,S00-Ann
CO6,1.0,S00-Ann
CO7,1.0,S00-Ann
CO8,1.0,S00-Ann
CO9,1.0,S00-Ann
COA,1.0,S00-Ann
COB,1.0,S00-Ann
COC,1.0,S00-Ann
COD,1.0,S00-Ann
COE,1.0,S00-Ann
COF,1.0,S00-Ann
COG,1.0,S00-Ann
COH,1.0,S00-Ann
COI,1.0,S00-Ann
COJ,1.0,S00-Ann
COK,1.0,S00-Ann
COL,1.0,S00-Ann
COM,1.0,S00-Ann
CON,1.0,S00-Ann
COO,1.0,S00-Ann
COP,1.0,S00-Ann
COQ,1.0,S00-Ann
COR,1.0,S00-Ann
COS,1.0,S00-Ann
COT,1.0,S00-Ann
COU,1.0,S00-Ann
COV,1.0,S00-Ann
COW,1.0,S00-Ann
COX,1.0,S00-Ann
COY,1.0,S00-Ann
COZ,1.0,S00-Ann
XX3,1.0,S00-Ann
