FACGEOGROUP,STATIONGROUP,FACGRP,FACATGROUP,FACVOLCLASS
SSNFACGEO,SNA,I80Freeway,1-Rural,0-AllVolumes
SSNFACGEO,SNB,I80Freeway,2-Transition,0-AllVolumes
SSNFACGEO,SNC,I80Freeway,3-Suburban,0-AllVolumes
SSNFACGEO,SND,I80Freeway,45-Urban/CBD,0-AllVolumes
SSNFACGEO,SNE,I84Freeway,0-AllAreaTypes,0-AllVolumes
SSNFACGEO,SNF,LegacyFreeway,0-AllAreaTypes,0-AllVolumes
SSNFACGEO,SNG,SR201Freeway,0-AllAreaTypes,0-AllVolumes
SSNFACGEO,SNH,US40Freeway,0-AllAreaTypes,0-AllVolumes
SSNFACGEO,SNI,LittleCottonwoodSnowbasin,0-AllAreaTypes,0-AllVolumes
SSNFACGEO,SNJ,Moab,0-AllAreaTypes,0-AllVolumes
SSNFACGEO,SNK,ParkCity,0-AllAreaTypes,0-AllVolumes
SSNFACGEO,SNL,RuralRecLowVol,0-AllAreaTypes,0-AllVolumes
SSNFACGEO,SNM,RuralRecLowVolWinterClosed,0-AllAreaTypes,0-AllVolumes
SSNFACGEO,SNN,Southeast,0-AllAreaTypes,1-LowVolume
SSNFACGEO,SNO,Southeast,0-AllAreaTypes,2-MidVolume
SSNFACGEO,SNP,StatewideArterialExpressway,1-Rural,1-LowVolume
SSNFACGEO,SNQ,StatewideArterialExpressway,1-Rural,2-MidVolume
SSNFACGEO,SNR,StatewideArterialExpressway,1-Rural,3-HighVolume
SSNFACGEO,SNS,StatewideArterialExpressway,2-Transition,0-AllVolumes
SSNFACGEO,SNT,StatewideArterialExpressway,3-Suburban,0-AllVolumes
SSNFACGEO,SNU,StatewideArterialExpressway,45-Urban/CBD,0-AllVolumes
SSNFACGEO,SNV,WashingtonArterial,0-AllAreaTypes,0-AllVolumes
SSNFACGEO,SNW,WashingtonExpressway,0-AllAreaTypes,0-AllVolumes
SSNFACGEO,SNX,WashingtonFreeway,0-AllAreaTypes,0-AllVolumes
SSNFACGEO,SN0,AlpineLoop,0-AllAreaTypes,0-AllVolumes
SSNFACGEO,SN1,BearLake,0-AllAreaTypes,0-AllVolumes
SSNFACGEO,SN2,BigCottonwood,0-AllAreaTypes,0-AllVolumes
SSNFACGEO,SN3,CedarBreaks,0-AllAreaTypes,0-AllVolumes
SSNFACGEO,SN4,I15Freeway,1-Rural,0-AllVolumes
SSNFACGEO,SN5,I15Freeway,2-Transition,0-AllVolumes
SSNFACGEO,SN6,I15Freeway,3-Suburban,0-AllVolumes
SSNFACGEO,SN7,I15Freeway,45-Urban/CBD,0-AllVolumes
SSNFACGEO,SN8,I215Freeway,0-AllAreaTypes,0-AllVolumes
SSNFACGEO,SN9,I70Freeway,0-AllAreaTypes,0-AllVolumes
SSNFACGEO,XX1,StatewideFreeway,0-AllAreaTypes,0-AllVolumes
COFACGEO,COA,I80NevSR36Freeway,0-AllAreaTypes,0-AllVolumes
COFACGEO,COB,I80SR36SR154Freeway,0-AllAreaTypes,0-AllVolumes
COFACGEO,COC,I80SR154SR186Freeway,0-AllAreaTypes,0-AllVolumes
COFACGEO,COD,I80SR186US40Freeway,0-AllAreaTypes,0-AllVolumes
COFACGEO,COY,I80US40WyoFreeway,0-AllAreaTypes,0-AllVolumes
COFACGEO,COE,I84WestFreeway,0-AllAreaTypes,0-AllVolumes
COFACGEO,COZ,I84EastFreeway,0-AllAreaTypes,0-AllVolumes
COFACGEO,COF,LegacyFreeway,0-AllAreaTypes,0-AllVolumes
COFACGEO,COG,SR201Freeway,0-AllAreaTypes,0-AllVolumes
COFACGEO,COH,US40Freeway,0-AllAreaTypes,0-AllVolumes
COFACGEO,COI,LittleCottonwoodSnowbasin,0-AllAreaTypes,0-AllVolumes
COFACGEO,COJ,Moab,0-AllAreaTypes,0-AllVolumes
COFACGEO,COK,ParkCity,0-AllAreaTypes,0-AllVolumes
COFACGEO,COL,RuralRecLowVol,0-AllAreaTypes,0-AllVolumes
COFACGEO,COM,RuralRecLowVolWinterClosed,0-AllAreaTypes,0-AllVolumes
COFACGEO,CON,Southeast,0-AllAreaTypes,1-LowVolume
COFACGEO,COO,Southeast,0-AllAreaTypes,2-MidVolume
COFACGEO,COP,StatewideArterialExpressway,1-Rural,1-LowVolume
COFACGEO,COQ,StatewideArterialExpressway,1-Rural,2-MidVolume
COFACGEO,COR,StatewideArterialExpressway,1-Rural,3-HighVolume
COFACGEO,COS,StatewideArterialExpressway,2-Transition,0-AllVolumes
COFACGEO,COT,StatewideArterialExpressway,3-Suburban,0-AllVolumes
COFACGEO,COU,StatewideArterialExpressway,45-Urban/CBD,0-AllVolumes
COFACGEO,COV,WashingtonArterial,0-AllAreaTypes,0-AllVolumes
COFACGEO,COW,WashingtonExpressway,0-AllAreaTypes,0-AllVolumes
COFACGEO,COX,WashingtonFreeway,0-AllAreaTypes,0-AllVolumes
COFACGEO,CO0,AlpineLoop,0-AllAreaTypes,0-AllVolumes
COFACGEO,CO1,BearLake,0-AllAreaTypes,0-AllVolumes
COFACGEO,CO2,BigCottonwood,0-AllAreaTypes,0-AllVolumes
COFACGEO,CO3,CedarBreaks,0-AllAreaTypes,0-AllVolumes
COFACGEO,CO7,I15PlymouthFreeway,0-AllAreaTypes,0-AllVolumes
COFACGEO,CO4,I15Freeway,1-Rural,0-AllVolumes
COFACGEO,CO5,I15Freeway,2-Transition,0-AllVolumes
COFACGEO,CO6,I15Freeway,345-Suburban/Urban/CBD,0-AllVolumes
COFACGEO,CO8,I215Freeway,0-AllAreaTypes,0-AllVolumes
COFACGEO,CO9,I70Freeway,0-AllAreaTypes,0-AllVolumes
COFACGEO,XX3,StatewideFreeway,0-AllAreaTypes,0-AllVolumes
WDFACGEO,WD0,StatewideArterial,1-Rural,0-AllVolumes
WDFACGEO,WD1,StatewideArterial,2-Transition,0-AllVolumes
WDFACGEO,WD2,StatewideArterial,3-Suburban,0-AllVolumes
WDFACGEO,WD3,StatewideArterial,45-Urban/CBD,0-AllVolumes
WDFACGEO,WD4,CanyonArterial,0-AllAreaTypes,0-AllVolumes
WDFACGEO,WD5,StatewideExpressway,12-Rural/Transition,0-AllVolumes
WDFACGEO,WD6,StatewideExpressway,3-Suburban,0-AllVolumes
WDFACGEO,WD7,StatewideExpressway,45-Urban/CBD,0-AllVolumes
WDFACGEO,WD8,I15Freeway,1-Rural,0-AllVolumes
WDFACGEO,WD9,I15Freeway,2-Transition,0-AllVolumes
WDFACGEO,WDA,I15Freeway,345-Suburban/Urban/CBD,0-AllVolumes
WDFACGEO,WDB,I215Freeway,0-AllAreaTypes,0-AllVolumes
WDFACGEO,WDC,I70Freeway,0-AllAreaTypes,0-AllVolumes
WDFACGEO,WDD,I80Freeway,1-Rural,0-AllVolumes
WDFACGEO,XX2,I80Freeway,2-Transition,0-AllVolumes
WDFACGEO,WDE,I80Freeway,3-Suburban,0-AllVolumes
WDFACGEO,WDF,I80Freeway,45-Urban/CBD,0-AllVolumes
WDFACGEO,WDG,I84EastFreeway,0-AllAreaTypes,0-AllVolumes
WDFACGEO,WDH,I84WestFreeway,0-AllAreaTypes,0-AllVolumes
WDFACGEO,WDI,LegacyFreeway,0-AllAreaTypes,0-AllVolumes
WDFACGEO,WDJ,SR201Freeway,0-AllAreaTypes,0-AllVolumes
WDFACGEO,WDK,US40Freeway,0-AllAreaTypes,0-AllVolumes
WDFACGEO,XX4,StatewideFreeway,0-AllAreaTypes,0-AllVolumes
